starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 28 10:34:49 2025	1740713689	0	8	8	3
Fri Feb 28 10:34:57 2025	1740713697	6	26	32	21
Fri Feb 28 10:34:57 2025	1740713697	1	30	32	14
Fri Feb 28 10:34:57 2025	1740713697	1	30	32	15
Fri Feb 28 10:34:57 2025	1740713697	2	30	32	15
Fri Feb 28 10:34:57 2025	1740713697	5	26	32	21
Fri Feb 28 10:34:57 2025	1740713697	1	30	32	14
Fri Feb 28 10:34:57 2025	1740713697	6	26	32	21
Fri Feb 28 10:34:57 2025	1740713697	1	30	32	14
Fri Feb 28 10:34:57 2025	1740713697	6	26	32	20
Fri Feb 28 10:34:57 2025	1740713697	2	30	32	16
Fri Feb 28 10:34:57 2025	1740713697	6	26	32	20
Fri Feb 28 10:34:57 2025	1740713697	2	30	32	15
Fri Feb 28 10:34:57 2025	1740713697	1	31	32	13
Fri Feb 28 10:34:57 2025	1740713697	1	31	32	13
Fri Feb 28 10:34:57 2025	1740713697	5	26	32	20
Fri Feb 28 10:34:57 2025	1740713697	5	26	32	19
Fri Feb 28 10:34:57 2025	1740713697	1	31	32	12
Fri Feb 28 10:34:57 2025	1740713697	1	31	32	12
Fri Feb 28 10:34:57 2025	1740713697	5	27	32	19
Fri Feb 28 10:34:57 2025	1740713697	2	29	32	16
Fri Feb 28 10:34:57 2025	1740713697	2	30	32	16
Fri Feb 28 10:34:57 2025	1740713697	2	30	32	16
Fri Feb 28 10:34:57 2025	1740713697	0	31	32	13
Fri Feb 28 10:34:57 2025	1740713697	2	29	32	17
Fri Feb 28 10:34:57 2025	1740713697	2	29	32	17
Fri Feb 28 10:34:57 2025	1740713697	3	29	32	17
Fri Feb 28 10:34:57 2025	1740713697	3	29	32	18
Fri Feb 28 10:34:57 2025	1740713697	3	29	32	17
Fri Feb 28 10:34:57 2025	1740713697	3	28	32	18
Fri Feb 28 10:34:57 2025	1740713697	5	27	32	19
Fri Feb 28 10:34:57 2025	1740713697	3	29	32	18
Fri Feb 28 10:34:57 2025	1740713697	3	29	32	18
Fri Feb 28 10:34:57 2025	1740713697	4	28	32	19
Fri Feb 28 10:34:57 2025	1740713697	3	28	32	18
Fri Feb 28 10:34:57 2025	1740713697	4	28	32	19
Fri Feb 28 10:34:57 2025	1740713697	4	28	32	19
Fri Feb 28 10:34:57 2025	1740713697	4	28	32	19
Fri Feb 28 10:34:57 2025	1740713697	4	27	32	19
Fri Feb 28 10:34:55 2025	1740713695	3	41	44	32
Fri Feb 28 10:34:55 2025	1740713695	3	41	44	33
Fri Feb 28 10:34:55 2025	1740713695	3	41	44	32
Fri Feb 28 10:34:55 2025	1740713695	3	41	44	34
Fri Feb 28 10:34:55 2025	1740713695	3	41	44	31
Fri Feb 28 10:34:55 2025	1740713695	3	41	44	35
Fri Feb 28 10:34:55 2025	1740713695	3	41	44	33
Fri Feb 28 10:34:55 2025	1740713695	3	41	44	31
Fri Feb 28 10:34:55 2025	1740713695	3	41	44	34
Fri Feb 28 10:34:55 2025	1740713695	3	41	44	34
Fri Feb 28 10:34:55 2025	1740713695	3	41	44	31
Fri Feb 28 10:34:55 2025	1740713695	4	41	44	30
Fri Feb 28 10:34:55 2025	1740713695	3	41	44	30
Fri Feb 28 10:34:55 2025	1740713695	4	41	44	29
Fri Feb 28 10:34:55 2025	1740713695	4	40	44	29
Fri Feb 28 10:34:55 2025	1740713695	4	40	44	28
Fri Feb 28 10:34:55 2025	1740713695	4	40	44	28
Fri Feb 28 10:34:55 2025	1740713695	5	39	44	19
Fri Feb 28 10:34:55 2025	1740713695	5	39	44	20
Fri Feb 28 10:34:55 2025	1740713695	5	39	44	20
Fri Feb 28 10:34:55 2025	1740713695	5	39	44	21
Fri Feb 28 10:34:55 2025	1740713695	4	40	44	27
Fri Feb 28 10:34:55 2025	1740713695	5	39	44	21
Fri Feb 28 10:34:55 2025	1740713695	5	39	44	18
Fri Feb 28 10:34:55 2025	1740713695	4	40	44	27
Fri Feb 28 10:34:55 2025	1740713695	5	39	44	21
Fri Feb 28 10:34:55 2025	1740713695	5	39	44	22
Fri Feb 28 10:34:55 2025	1740713695	5	39	44	18
Fri Feb 28 10:34:55 2025	1740713695	5	39	44	18
Fri Feb 28 10:34:55 2025	1740713695	5	39	44	19
Fri Feb 28 10:34:55 2025	1740713695	5	39	44	18
Fri Feb 28 10:34:55 2025	1740713695	5	39	44	22
Fri Feb 28 10:34:55 2025	1740713695	5	40	44	23
Fri Feb 28 10:34:55 2025	1740713695	5	40	44	24
Fri Feb 28 10:34:55 2025	1740713695	5	40	44	23
Fri Feb 28 10:34:55 2025	1740713695	5	40	44	16
Fri Feb 28 10:34:55 2025	1740713695	5	40	44	24
Fri Feb 28 10:34:55 2025	1740713695	5	40	44	24
Fri Feb 28 10:34:55 2025	1740713695	4	40	44	25
Fri Feb 28 10:34:55 2025	1740713695	4	40	44	26
Fri Feb 28 10:34:55 2025	1740713695	4	40	44	25
Fri Feb 28 10:34:55 2025	1740713695	4	40	44	26
Fri Feb 28 10:34:55 2025	1740713695	4	40	44	27
Fri Feb 28 10:34:55 2025	1740713695	5	39	44	17
Fri Feb 28 10:34:55 2025	1740713695	5	40	44	16
Fri Feb 28 10:34:55 2025	1740713695	4	40	44	16
Fri Feb 28 10:34:55 2025	1740713695	5	40	44	17
Fri Feb 28 10:34:55 2025	1740713695	5	40	44	17
Fri Feb 28 10:34:55 2025	1740713695	4	40	44	15
Fri Feb 28 10:34:55 2025	1740713695	5	40	44	17
Fri Feb 28 10:34:55 2025	1740713695	4	40	44	15
Fri Feb 28 10:34:55 2025	1740713695	4	40	44	15
Fri Feb 28 10:34:55 2025	1740713695	4	40	45	15
Fri Feb 28 10:34:55 2025	1740713695	4	41	45	14
Fri Feb 28 10:34:55 2025	1740713695	4	41	45	14
Fri Feb 28 10:34:55 2025	1740713695	4	41	45	14
Fri Feb 28 10:34:55 2025	1740713695	4	41	45	14
Fri Feb 28 10:34:55 2025	1740713695	4	41	45	14
Fri Feb 28 10:34:55 2025	1740713695	3	42	45	14
Fri Feb 28 10:34:55 2025	1740713695	3	42	45	13
Fri Feb 28 10:34:55 2025	1740713695	3	42	45	13
Fri Feb 28 10:34:55 2025	1740713695	3	42	45	13
Fri Feb 28 10:34:55 2025	1740713695	3	42	45	13
Fri Feb 28 10:34:55 2025	1740713695	3	43	45	13
Fri Feb 28 10:34:55 2025	1740713695	2	43	45	13
Fri Feb 28 10:34:55 2025	1740713695	2	43	45	12
Fri Feb 28 10:34:55 2025	1740713695	2	43	45	12
Fri Feb 28 10:34:55 2025	1740713695	1	44	45	12
Fri Feb 28 10:34:55 2025	1740713695	1	44	45	12
Fri Feb 28 10:34:55 2025	1740713695	1	44	45	12
Fri Feb 28 10:34:55 2025	1740713695	1	45	45	12
Fri Feb 28 10:34:55 2025	1740713695	0	45	45	11
Fri Feb 28 10:34:55 2025	1740713695	1	45	45	12
Fri Feb 28 10:34:55 2025	1740713695	0	45	45	12
Fri Feb 28 10:34:55 2025	1740713695	0	45	45	11
Fri Feb 28 10:34:55 2025	1740713695	3	50	52	42
Fri Feb 28 10:34:55 2025	1740713695	2	50	52	42
Fri Feb 28 10:34:55 2025	1740713695	2	50	52	42
Fri Feb 28 10:34:55 2025	1740713695	2	50	52	42
Fri Feb 28 10:34:55 2025	1740713695	2	50	52	42
Fri Feb 28 10:34:55 2025	1740713695	1	51	52	47
Fri Feb 28 10:34:55 2025	1740713695	1	51	52	48
Fri Feb 28 10:34:55 2025	1740713695	1	51	52	49
Fri Feb 28 10:34:55 2025	1740713695	1	51	52	49
Fri Feb 28 10:34:55 2025	1740713695	2	51	52	43
Fri Feb 28 10:34:55 2025	1740713695	2	51	52	45
Fri Feb 28 10:34:55 2025	1740713695	2	51	52	44
Fri Feb 28 10:34:55 2025	1740713695	2	51	52	45
Fri Feb 28 10:34:55 2025	1740713695	2	51	52	45
Fri Feb 28 10:34:55 2025	1740713695	1	51	52	46
Fri Feb 28 10:34:55 2025	1740713695	1	51	52	47
Fri Feb 28 10:34:55 2025	1740713695	1	51	52	46
Fri Feb 28 10:34:55 2025	1740713695	1	51	52	48
Fri Feb 28 10:34:55 2025	1740713695	2	51	52	44
Fri Feb 28 10:34:55 2025	1740713695	2	51	52	43
Fri Feb 28 10:34:55 2025	1740713695	2	51	52	42
Fri Feb 28 10:34:55 2025	1740713695	2	50	52	42
Fri Feb 28 10:34:55 2025	1740713695	2	50	53	42
Fri Feb 28 10:34:55 2025	1740713695	2	50	53	42
Fri Feb 28 10:34:55 2025	1740713695	2	50	53	42
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	44
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	45
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	45
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	46
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	44
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	44
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	44
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	45
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	44
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	46
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	45
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	44
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	46
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	45
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	43
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	43
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	43
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	45
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	43
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	48
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	42
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	37
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	48
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	48
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	50
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	49
Fri Feb 28 10:34:59 2025	1740713699	1	54	54	46
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	48
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	48
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	48
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	44
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	49
Fri Feb 28 10:34:59 2025	1740713699	1	54	54	46
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	50
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	48
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	49
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	50
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	49
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	48
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	50
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	37
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	42
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	49
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	49
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	37
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	42
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	49
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	49
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	37
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	44
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	42
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	49
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	38
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	49
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	49
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	49
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	37
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	45
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	41
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	42
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	43
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	46
Fri Feb 28 10:34:59 2025	1740713699	2	53	54	40
Fri Feb 28 10:34:59 2025	1740713699	2	53	54	41
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	40
Fri Feb 28 10:34:59 2025	1740713699	2	53	54	41
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	39
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	40
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	47
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	40
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	43
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	43
Fri Feb 28 10:34:59 2025	1740713699	1	54	54	49
Fri Feb 28 10:34:59 2025	1740713699	2	53	54	42
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	44
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	44
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	44
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	45
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	39
Fri Feb 28 10:34:59 2025	1740713699	1	54	54	48
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	46
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	38
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	47
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	38
Fri Feb 28 10:34:59 2025	1740713699	0	54	54	37
Fri Feb 28 10:34:59 2025	1740713699	2	53	54	41
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	42
Fri Feb 28 10:34:59 2025	1740713699	0	54	54	50
Fri Feb 28 10:34:59 2025	1740713699	0	54	54	50
Fri Feb 28 10:34:59 2025	1740713699	1	54	54	49
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	39
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	39
Fri Feb 28 10:34:59 2025	1740713699	1	54	54	38
Fri Feb 28 10:34:59 2025	1740713699	2	53	54	40
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	41
Fri Feb 28 10:34:59 2025	1740713699	1	54	54	38
Fri Feb 28 10:34:59 2025	1740713699	1	54	54	47
Fri Feb 28 10:34:59 2025	1740713699	1	54	54	48
Fri Feb 28 10:34:59 2025	1740713699	1	54	54	38
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	38
Fri Feb 28 10:34:59 2025	1740713699	0	54	54	37
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	41
Fri Feb 28 10:34:59 2025	1740713699	0	54	54	37
Fri Feb 28 10:34:59 2025	1740713699	0	54	54	31
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	39
Fri Feb 28 10:34:59 2025	1740713699	2	53	54	40
Fri Feb 28 10:34:59 2025	1740713699	2	53	54	40
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	42
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	42
Fri Feb 28 10:34:59 2025	1740713699	2	53	54	39
Fri Feb 28 10:34:59 2025	1740713699	2	53	54	41
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	43
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	38
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	41
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	48
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	39
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	49
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	49
Fri Feb 28 10:34:59 2025	1740713699	2	53	54	39
Fri Feb 28 10:34:59 2025	1740713699	1	53	54	43
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	46
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	40
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	41
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	39
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	45
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	48
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	50
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	37
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	47
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	41
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	43
Fri Feb 28 10:34:59 2025	1740713699	1	54	54	31
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	40
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	49
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	41
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	43
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	40
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	46
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	46
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	44
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	44
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	45
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	47
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	47
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	48
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	43
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	42
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	45
Fri Feb 28 10:34:59 2025	1740713699	0	54	54	31
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	39
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	44
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	48
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	49
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	37
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	40
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	40
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	49
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	42
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	47
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	31
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	41
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	50
Fri Feb 28 10:34:59 2025	1740713699	0	54	54	31
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	38
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	40
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	45
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	41
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	47
Fri Feb 28 10:34:59 2025	1740713699	1	54	54	31
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	44
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	37
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	43
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	39
Fri Feb 28 10:35:01 2025	1740713701	0	54	54	37
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	44
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	45
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	39
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	40
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	43
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	40
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	42
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	42
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	38
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	39
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	41
Fri Feb 28 10:34:59 2025	1740713699	2	52	54	38
Fri Feb 28 10:35:01 2025	1740713701	1	54	54	38
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	40
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	31
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	31
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	46
Fri Feb 28 10:34:56 2025	1740713696	0	54	54	10
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	46
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	40
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	34
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	41
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	35
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	35
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	36
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	36
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	31
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	37
Fri Feb 28 10:34:59 2025	1740713699	2	52	54	38
Fri Feb 28 10:34:56 2025	1740713696	0	54	54	10
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	39
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	31
Fri Feb 28 10:34:56 2025	1740713696	0	54	54	10
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	32
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	37
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	40
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	31
Fri Feb 28 10:35:01 2025	1740713701	2	52	54	37
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	38
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	38
Fri Feb 28 10:35:01 2025	1740713701	1	53	54	31
Fri Feb 28 10:34:56 2025	1740713696	1	54	54	10
Fri Feb 28 10:34:56 2025	1740713696	1	54	54	11
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	39
Fri Feb 28 10:35:01 2025	1740713701	2	53	54	40
Fri Feb 28 10:34:56 2025	1740713696	1	54	54	12
Fri Feb 28 10:34:56 2025	1740713696	1	54	54	11
Fri Feb 28 10:35:01 2025	1740713701	2	53	55	32
Fri Feb 28 10:35:01 2025	1740713701	2	52	55	32
Fri Feb 28 10:35:01 2025	1740713701	2	53	55	41
Fri Feb 28 10:35:01 2025	1740713701	2	52	55	39
Fri Feb 28 10:35:01 2025	1740713701	3	52	55	34
Fri Feb 28 10:34:59 2025	1740713699	2	52	55	38
Fri Feb 28 10:34:56 2025	1740713696	1	54	55	11
Fri Feb 28 10:35:01 2025	1740713701	2	52	55	40
Fri Feb 28 10:35:01 2025	1740713701	2	53	55	32
Fri Feb 28 10:35:01 2025	1740713701	2	52	55	33
Fri Feb 28 10:35:01 2025	1740713701	1	53	55	42
Fri Feb 28 10:35:01 2025	1740713701	1	54	55	46
Fri Feb 28 10:35:01 2025	1740713701	1	54	55	47
Fri Feb 28 10:35:01 2025	1740713701	1	54	55	47
Fri Feb 28 10:35:01 2025	1740713701	2	52	55	33
Fri Feb 28 10:35:01 2025	1740713701	2	53	55	39
Fri Feb 28 10:35:01 2025	1740713701	3	51	55	33
Fri Feb 28 10:34:56 2025	1740713696	1	53	55	12
Fri Feb 28 10:35:01 2025	1740713701	1	54	55	31
Fri Feb 28 10:35:01 2025	1740713701	2	53	55	40
Fri Feb 28 10:35:01 2025	1740713701	1	54	55	45
Fri Feb 28 10:34:56 2025	1740713696	2	53	55	14
Fri Feb 28 10:34:59 2025	1740713699	1	53	55	31
Fri Feb 28 10:35:01 2025	1740713701	3	52	55	39
Fri Feb 28 10:35:01 2025	1740713701	1	53	55	44
Fri Feb 28 10:34:56 2025	1740713696	1	53	55	12
Fri Feb 28 10:34:56 2025	1740713696	2	52	55	15
Fri Feb 28 10:35:01 2025	1740713701	2	53	55	41
Fri Feb 28 10:35:01 2025	1740713701	1	54	55	31
Fri Feb 28 10:35:01 2025	1740713701	2	52	55	31
Fri Feb 28 10:35:01 2025	1740713701	2	53	55	32
Fri Feb 28 10:35:01 2025	1740713701	2	53	55	41
Fri Feb 28 10:35:01 2025	1740713701	3	52	55	34
Fri Feb 28 10:34:56 2025	1740713696	1	53	55	12
Fri Feb 28 10:35:01 2025	1740713701	1	54	55	31
Fri Feb 28 10:34:59 2025	1740713699	1	54	55	31
Fri Feb 28 10:35:01 2025	1740713701	1	53	55	43
Fri Feb 28 10:34:56 2025	1740713696	1	53	55	13
Fri Feb 28 10:35:01 2025	1740713701	2	52	55	33
Fri Feb 28 10:35:01 2025	1740713701	3	51	55	32
Fri Feb 28 10:35:01 2025	1740713701	1	54	55	46
Fri Feb 28 10:35:01 2025	1740713701	1	54	55	31
Fri Feb 28 10:35:01 2025	1740713701	1	53	55	44
Fri Feb 28 10:34:56 2025	1740713696	2	53	55	14
Fri Feb 28 10:34:56 2025	1740713696	2	53	55	14
Fri Feb 28 10:35:01 2025	1740713701	1	54	55	45
Fri Feb 28 10:35:01 2025	1740713701	3	52	55	33
Fri Feb 28 10:35:01 2025	1740713701	1	54	55	46
Fri Feb 28 10:34:56 2025	1740713696	1	53	55	13
Fri Feb 28 10:34:59 2025	1740713699	1	53	55	31
Fri Feb 28 10:35:01 2025	1740713701	3	52	55	32
Fri Feb 28 10:35:01 2025	1740713701	1	53	55	42
Fri Feb 28 10:34:56 2025	1740713696	2	53	55	14
Fri Feb 28 10:34:56 2025	1740713696	2	52	55	15
Fri Feb 28 10:35:01 2025	1740713701	1	53	55	43
Fri Feb 28 10:34:56 2025	1740713696	2	52	55	15
Fri Feb 28 10:35:01 2025	1740713701	1	53	55	44
Fri Feb 28 10:34:59 2025	1740713699	2	52	55	37
Fri Feb 28 10:34:56 2025	1740713696	1	53	55	13
Fri Feb 28 10:34:59 2025	1740713699	1	53	55	32
Fri Feb 28 10:34:56 2025	1740713696	2	53	55	13
Fri Feb 28 10:34:56 2025	1740713696	3	52	55	16
Fri Feb 28 10:34:56 2025	1740713696	4	51	55	25
Fri Feb 28 10:34:56 2025	1740713696	4	50	55	22
Fri Feb 28 10:34:56 2025	1740713696	2	52	55	15
Fri Feb 28 10:34:56 2025	1740713696	4	51	55	24
Fri Feb 28 10:35:01 2025	1740713701	3	51	55	32
Fri Feb 28 10:34:59 2025	1740713699	0	54	55	49
Fri Feb 28 10:35:01 2025	1740713701	3	52	55	32
Fri Feb 28 10:34:56 2025	1740713696	3	52	55	16
Fri Feb 28 10:34:59 2025	1740713699	2	52	55	37
Fri Feb 28 10:34:56 2025	1740713696	3	52	55	16
Fri Feb 28 10:34:56 2025	1740713696	3	52	55	17
Fri Feb 28 10:34:56 2025	1740713696	4	50	55	21
Fri Feb 28 10:34:56 2025	1740713696	4	51	55	23
Fri Feb 28 10:34:56 2025	1740713696	3	51	55	17
Fri Feb 28 10:34:56 2025	1740713696	4	51	55	25
Fri Feb 28 10:34:56 2025	1740713696	4	50	55	22
Fri Feb 28 10:34:56 2025	1740713696	4	51	55	24
Fri Feb 28 10:34:56 2025	1740713696	3	51	55	18
Fri Feb 28 10:34:59 2025	1740713699	0	54	55	49
Fri Feb 28 10:34:59 2025	1740713699	0	54	55	49
Fri Feb 28 10:34:56 2025	1740713696	4	50	55	22
Fri Feb 28 10:34:56 2025	1740713696	4	50	55	23
Fri Feb 28 10:35:01 2025	1740713701	2	52	55	40
Fri Feb 28 10:34:56 2025	1740713696	4	51	55	25
Fri Feb 28 10:34:59 2025	1740713699	1	54	55	49
Fri Feb 28 10:34:59 2025	1740713699	1	54	55	49
Fri Feb 28 10:34:59 2025	1740713699	0	54	55	49
Fri Feb 28 10:34:59 2025	1740713699	1	54	55	49
